Country,Year,Fish
Australia,1995,22.395
Australia,1996,25.323
Australia,1997,26.543
Australia,1998,24.57
Australia,1999,29.189
Australia,2000,31.746
Australia,2001,35.403
Australia,2002,38.566
Australia,2003,38.793
Australia,2004,44.142
Australia,2005,42.787
Australia,2006,49.376
Australia,2007,55.799
Australia,2008,58.9117
Australia,2009,70.12185
Australia,2010,73.32421
Australia,2011,75.91052
Australia,2012,81.48293
Australia,2013,79.8189
Australia,2014,74.84021
Australia,2015,90.9903
Australia,2016,96.84763
